NETWORK_SID,DATETIME_KEY,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
1856055594,1/21/2021 5:15:00 AM,SOEM1,17202,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-AL5382-TN1.1,AMM 6PC,-45.1,682d,AT4n,1/4+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-53.9,L44o,493a,1/15+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/13.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-41.3,L44g,p73a,1/13+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/9.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-49.2,L44a,AT4d,1/9+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/10.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-47.0,AT2m,A420,1/10+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-48.9,L44f,AT4e,1/8+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-49.2,L44i,A10b,1/5+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-99.9,L44j,A02i,1/7+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-49.8,L44h,A10f,1/4+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-99.9,L44b,L36g,1/2+,1
1047591675,1/21/2021 5:15:00 AM,SOEM1,17201,1/19.1/1,2021-01-21 00:00:00,24,Near End,TN-AL4944-TN1.1,AMM 20PB,-45.7,L44e,409b,1/19+,1
526379195,1/21/2021 5:15:00 AM,SOEM1,17225,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AN2394.1,AMM 2PB,-47.3,N94b,N64c,1/2+,1
1028472426,1/21/2021 5:15:00 AM,SOEM1,17236,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ET3621.1,AMM 2PB,-40.7,E21b,ET1f,1/2+,1
1438009370,1/21/2021 5:15:00 AM,SOEM1,17228,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ET3620.1,AMM 2PB,-37.3,E20b,E05d,1/2+,1
2063170418,1/21/2021 5:15:00 AM,SOEM1,17230,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT06-TN1.1,AMM 20PB,-37.9,ET6c,E15b,1/7+,1
2063170418,1/21/2021 5:15:00 AM,SOEM1,17230,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT06-TN1.1,AMM 20PB,-41.6,ET6e,E34b,1/6+,1
1684684343,1/21/2021 5:15:00 AM,SOEM1,17224,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ET3608.1,AMM 6PC,-49.8,E08b,ET3c,1/2+,1
1684684343,1/21/2021 5:15:00 AM,SOEM1,17224,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-ET3608.1,AMM 6PC,-37.9,E08c,E25b,1/4+,1
1684684343,1/21/2021 5:15:00 AM,SOEM1,17224,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-ET3608.1,AMM 6PC,-52.3,E08d,E48b,1/5+,1
1200900448,1/21/2021 5:15:00 AM,SOEM1,17232,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ET3648.1,AMM 2PB,-51.7,E48b,E08d,1/2+,1
1200900448,1/21/2021 5:15:00 AM,SOEM1,17232,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-ET3648.1,AMM 2PB,-48.5,E48c,E46b,1/3+,1
918682071,1/21/2021 5:15:00 AM,SOEM1,17258,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT08.1,AMM 6PC,-99.9,WT8b,WT6d,1/2+,1
918682071,1/21/2021 5:15:00 AM,SOEM1,17258,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT08.1,AMM 6PC,-46.0,WT8c,W26b,1/4+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-46.4,O12d,O11b,1/6+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/12.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-40.1,O12f,O08e,1/12+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/19.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-50.1,O12h,O13i,1/19+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-48.9,O12e,O13e,1/17+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/18.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-46.7,O12h,O13i,1/18+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-41.3,O12g,O08g,1/15+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-46.7,O12e,O13e,1/16+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/13.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-42.9,O12f,O08e,1/13+,1
1059578507,1/21/2021 5:15:00 AM,SOEM1,16878,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-EO3912.1,AMM 20PB,-42.9,O12g,O08g,1/14+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-96.2,AT3r,AT4o,1/2+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/12.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-46.4,AT3b,407c,1/12+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/10.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-52.0,AT3e,521a,1/10+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/9.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-59.2,AT3d,L98b,1/9+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-41.6,AT3s,A79h,1/7+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-48.5,AT3m,486a,1/8+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-42.3,AT3j,A52b,1/5+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-37.3,AT3s,A79h,1/6+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-37.3,AT3j,A52b,1/4+,1
1112298701,1/21/2021 5:15:00 AM,SOEM1,17203,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-ALT03.1,AMM 20PB,-95.6,AT3r,AT4o,1/3+,1
169029052,1/21/2021 5:15:00 AM,SOEM1,17246,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT02-TN2-Metro.1,AMM 20PB,-30.7,WT2o,WB1l,1/5+,1
169029052,1/21/2021 5:15:00 AM,SOEM1,17246,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT02-TN2-Metro.1,AMM 20PB,-31.0,WT2u,WB1u,1/7+,1
